업체명,주소,전화번호,음식 종류,가격대,주차,영업시간,메뉴
김사부샤브샤브 무한리필,서울시 금천구 가산동 145-24,010-5811-0412,기타 중식,만원-2만원,주차공간없음,수-월: 11:00 - 22:00☆화: 17:00 - 22:00,"샤브샤브무한리필 (1인)15,000원어향육슬16,000원마라탕12,500원마라샹궈12,500원중국식 수제물만두10,000원"
여신족발,서울시 금천구 가산동 44-1,02-865-9244,고기 요리,만원-2만원,주차공간없음,16:00 - 23:30,"족발 (대)42,000원족발 (중)36,000원족발 (소)30,000원냉채족발25,000원비빔국수10,000원"
세라즈피자펍,서울시 금천구 가산동 371-28 A동 2F 222호,010-6688-0415,기타 양식,만원 미만,,16:00 - 23:30,
팔람까오,서울시 금천구 가산동 543-1,02-861-8420,태국 음식,만원-2만원,유료주차 가능,월-금: 11:00 - 21:00☆토: 11:00 - 15:00,
마하나콘,서울시 금천구 가산동 685 디지털엠파이어빌딩 112호,02-858-6354,태국 음식,만원-2만원,유료주차 가능,월-금: 11:00 - 21:00☆토: 11:00 - 17:00,"태국소고기쌀국수7,500원해장쌀국수11,000원똠양쌀국수11,000원팟까파오무쌉10,500원뿌빡뽕가리25,500원"
카페 트리니티 블랙,서울시 금천구 가산동 429-1 뉴티캐슬 1F 104호,02-2626-8989,카페 / 디저트,만원 미만,유료주차 가능 1시간 무료,07:30 - 20:00,
참숯구이육향,서울시 금천구 가산동 517-4 105호,0507-1327-0655,고기 요리,만원-2만원,무료주차 가능,11:00 - 22:00,"무항생제 돼지숄더랙 (220g)21,000원우대갈비 (250g)28,000원무항생제 삼겹살 (150g)15,000원무항생제 꽃목살 (150g)15,000원투쁠 한우생등심 (150g)38,000원"
삼팔교자관,서울시 금천구 가산동 371-28,02-856-3868,정통 중식 / 일반 중식,만원 미만,주차공간없음,월-금: 11:00 - 23:00☆토: 11:00 - 21:00,
하남돼지집,서울시 금천구 가산동 459-11 제이플라츠 B1,02-2028-5151,고기 요리,만원-2만원,유료주차 가능,17:00 - 23:00,
미가양꼬치,서울시 금천구 가산동 40-15,02-837-3003,기타 중식,만원-2만원,유료주차 가능,13:00 - 01:00,
포베이,서울시 금천구 가산동 60-24 월드메르디앙벤처1차 1F,02-858-1017,베트남 음식,만원 미만,,13:00 - 01:00,
천지회관,서울시 금천구 가산동 664 1F,02-867-1007,고기 요리,만원-2만원,유료주차 가능,월-금: 11:00 - 22:00,
